,Date,GamersGate,certainty,emphasis,GameStop PC,certainty,emphasis,GamesPlanet UK,certainty,emphasis,GamesPlanet DE,certainty,emphasis,GamesPlanet FR,certainty,emphasis,GreenMan Gaming,certainty,emphasis,Amazon,certainty,emphasis,GameFly,certainty,emphasis,Direct2Drive,certainty,emphasis,Origin PC,certainty,emphasis,Uplay PC,certainty,emphasis,FunStock Digital,certainty,emphasis
106,2014-08-05T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False
107,2014-08-06T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False
108,2014-08-07T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False
109,2014-08-08T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False
110,2014-08-09T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False
111,2014-08-10T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False
112,2014-08-11T21:10:16.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False
113,2014-08-12T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False
114,2014-08-13T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False
115,2014-08-14T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False
